,d.id,n.N_Name,count(s)
0,1,"['GRACILE SYNDROME', 'FLNMS', 'FINNISH LACTIC ACIDOSIS WITH HEPATIC HEMOSIDEROSIS', 'FELLMAN SYNDROME', 'GROWTH RETARDATION, AMINOACIDURIA, CHOLESTASIS, IRON OVERLOAD, LACTIC ACIDOSIS AND EARLY DEATH', 'FINNISH LETHAL NEONATAL METABOLIC SYNDROME', 'FELLMAN DISEASE', 'GROWTH DELAY-AMINOACIDURIA-CHOLESTASIS-IRON OVERLOAD-LACTIC ACIDOSIS-EARLY DEATH SYNDROME', 'GROWTH RESTRICTION-AMINOACIDURIA-CHOLESTASIS-IRON OVERLOAD-LACTIC ACIDOSIS-EARLY DEATH SYNDROME']",16
1,3,"['ABLEPHARON MACROSTOMIA SYNDROME', 'AMS', 'CONGENITAL ABLEPHARON, ABSENT EYELASHES/EYEBROWS, MACROSTOMIA, AURICULAR, NASAL, GENITAL AND OTHER SYSTEMIC ANOMALIES']",49
2,5,"['ABETALIPOPROTEINEMIA', 'BASSEN KORNZWEIG SYNDROME', 'MICROSOMAL TRIGLYCERIDE TRANSFER PROTEIN DEFICIENCY DISEASE', 'MICROSOMAL TRIGLYCERIDE TRANSFER PROTEIN DEFICIENCY', 'ABL', 'ABETALIPOPROTEINEMIA NEUROPATHY', 'APOLIPOPROTEIN B DEFICIENCY', 'BETALIPOPROTEIN DEFICIENCY DISEASE', 'CONGENITAL BETALIPOPROTEIN DEFICIENCY SYNDROME', 'MTP DEFICIENCY', 'BASSEN-KORNZWEIG DISEASE', 'HOMOZYGOUS FAMILIAL HYPOBETALIPOPROTEINEMIA']",14
3,7,"['ACROMICRIC DYSPLASIA', 'ACROMICRIC SKELETAL DYSPLASIA']",29
4,11,"['ALTERNATING HEMIPLEGIA OF CHILDHOOD', 'ALTERNATING HEMIPLEGIA SYNDROME', 'AHC', 'ALTERNATING HEMIPLEGIA']",9
5,13,"['GILLESPIE SYNDROME', 'ANIRIDIA, CEREBELLAR ATAXIA AND MENTAL DEFICIENCY']",19
6,19,"['DIHYDROPYRIMIDINE DEHYDROGENASE DEFICIENCY', 'DPD DEFICIENCY', 'HEREDITARY THYMINE-URACILURIA', 'FAMILIAL PYRIMIDINEMIA']",23
7,22,"['BJORNSTAD SYNDROME', 'BJS', 'PILI TORTI AND NERVE DEAFNESS', 'PTND', 'PILI TORTI-SENSORINEURAL HEARING LOSS', 'DEAFNESS AND PILI TORTI, BJORNSTAD TYPE']",12
8,23,"['BLEPHAROPHIMOSIS-EPICANTHUS INVERSUS-PTOSIS SYNDROME', 'BLEPHAROPHIMOSIS TYPES 1 AND 2']",21
9,28,"['CATEL MANZKE SYNDROME', 'HYPERPHALANGY-CLINODACTYLY OF INDEX FINGER WITH PIERRE ROBIN SYNDROME', 'PIERRE ROBIN SYNDROME WITH HYPERPHALANGY AND CLINODACTYLY', 'PALATODIGITAL SYNDROME CATEL-MANZKE TYPE', 'INDEX FINGER ANOMALY WITH PIERRE ROBIN SYNDROME']",24
10,29,"['CHARGE SYNDROME', 'COLOBOMA, HEART ANOMALY, CHOANAL ATRESIA, RETARDATION, GENITAL AND EAR ANOMALIES', 'CHARGE ASSOCIATION', 'HALL-HITTNER SYNDROME']",126
11,44,"['HAIM-MUNK SYNDROME', 'HMS', 'KERATOSIS PALMOPLANTARIS WITH PERIODONTOPATHIA AND ONYCHOGRYPOSIS', 'COCHIN JEWISH DISORDER']",9
12,47,"['CRIGLER NAJJAR SYNDROME, TYPE 1', 'CRIGLER-NAJJAR SYNDROME, TYPE I']",6
13,48,"['CYTOCHROME C OXIDASE DEFICIENCY', 'COMPLEX 4 MITOCHONDRIAL RESPIRATORY CHAIN DEFICIENCY', 'DEFICIENCY OF MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX4', 'COX DEFICIENCY', 'COMPLEX IV DEFICIENCY', 'MITOCHONDRIAL COMPLEX IV DEFICIENCY']",36
14,49,"['DE BARSY SYNDROME', 'CORNEAL CLOUDING, CUTIS LAXA AND INTELLECTUAL DISABILITY', 'PROGEROID SYNDROME OF DE BARSY', 'CUTIS LAXA GROWTH DEFICIENCY SYNDROME', 'PROGEROID SYNDROME, DE BARSY TYPE', 'CUTIS LAXA-CORNEAL CLOUDING-INTELLECTUAL DISABILITY SYNDROME']",42
15,59,"['SPINOCEREBELLAR ATAXIA 34', 'SCA34', 'GIROUX BARBEAU SYNDROME', 'ERYTHROKERATODERMIA - ATAXIA', 'ERYTHROKERATODERMIA WITH ATAXIA']",29
16,62,"['FILIPPI SYNDROME', 'SYNDACTYLY TYPE I WITH MICROCEPHALY AND MENTAL RETARDATION', 'UNUSUAL FACIAL APPEARANCE, MICROCEPHALY, GROWTH AND MENTAL RETARDATION AND SYNDACTYLY', 'TYPE 1 SYNDACTYLY-MICROCEPHALY-INTELLECTUAL DISABILITY SYNDROME']",57
17,65,"['GALLOWAY-MOWAT SYNDROME', 'GALLOWAY MOWAT SYNDROME', 'GALLOWAY SYNDROME', 'MICROCEPHALY NEPHROSIS SYNDROME', 'NEPHROSIS NEURONAL DYSMIGRATION SYNDROME', 'HIATAL HERNIA-MICROCEPHALY-NEPHROSIS, GALLOWAY TYPE', 'MICROCEPHALY, HIATAL HERNIA, AND NEPHROTIC SYNDROME']",78
18,66,"['GORLIN CHAUDHRY MOSS SYNDROME', 'CRANIOFACIAL DYSOSTOSIS, PATENT DUCTUS ARTERIOSUS, HYPERTRICHOSIS, HYPOPLASIA OF LABIA MAJORA, DENTAL AND EYE ANOMALIES', 'GCM SYNDROME', 'GORLIN-CHAUDHRY-MOSS SYNDROME']",24
19,73,"['IMMUNODEFICIENCY WITH HYPER IGM TYPE 1', 'X-LINKED HYPER IGM SYNDROME', 'HYPER IGM IMMUNODEFICIENCY, X-LINKED', 'HYPER IGM SYNDROME', 'HYPER IGM SYNDROME 1', 'XHIM', 'HIGM', 'IHIS', 'HIGM1']",27
20,79,"['JANSEN TYPE METAPHYSEAL CHONDRODYSPLASIA', 'METAPHYSEAL CHONDRODYSPLASIA MURK JANSEN TYPE', 'MURK JANSEN TYPE METAPHYSEAL CHONDRODYSPLASIA']",31
21,80,"['JOHANSON-BLIZZARD SYNDROME', 'JBS', 'NASAL ALAR HYPOPLASIA, HYPOTHYROIDISM, PANCREATIC ACHYLIA AND CONGENITAL DEAFNESS']",71
22,81,"['JUBERG MARSIDI SYNDROME', 'INTELLECTUAL DISABILITY, X-LINKED WITH GROWTH DELAY, DEAFNESS, MICROGENITALISM', 'JUBERG-MARSIDI INTELLECTUAL DISABILITY SYNDROME', 'JMS', 'X-LINKED HYPOGONADISM GYNECOMASTIA INTELLECTUAL DISABILITY', 'X-LINKED INTELLECTUAL DISABILITY-HYPOTONIC FACIES SYNDROME 1', 'JUBERG-MARSIDI SYNDROME', 'INTELLECTUAL DISABILITY, X-LINKED, WITH GROWTH RETARDATION, DEAFNESS, AND MICROGENITALISM', 'SMITH-FINEMAN-MYERS SYNDROME']",70
23,82,"['KBG SYNDROME', 'SHORT STATURE, CHARACTERISTIC FACIES, MACRODONTIA, MENTAL RETARDATION, AND SKELETAL ANOMALIES']",32
24,83,"['KENNY-CAFFEY SYNDROME TYPE 2', 'KCS2', 'DWARFISM, CORTICAL THICKENING OF TUBULAR BONES AND TRANSIENT HYPOCALCEMIA', 'KENNY-CAFFEY SYNDROME, AUTOSOMAL DOMINANT']",42
25,84,"['CONGENITAL GENERALIZED LIPODYSTROPHY TYPE 1', 'BERARDINELLI-SEIP CONGENITAL LIPODYSTROPHY TYPE 1', 'BSCL1', 'AGPAT2-RELATED BRUNZELL SYNDROME']",34
