,d.id,n.N_Name,count(s)
0,HP:0001994,"['RENAL TUBULAR FANCONI SYNDROME', ""'DE TONI-FANCONI-DEBRE' SYNDROME"", 'RENAL FANCONI SYNDROME']",5
1,HP:0001394,"['HEPATIC CIRRHOSIS', 'SCAR TISSUE REPLACES HEALTHY TISSUE IN THE LIVER', 'LIVER CIRRHOSIS', 'CIRRHOSIS']",48
2,HP:0000365,"['HEARING DEFECT', 'CONGENITAL DEAFNESS', 'HEARING IMPAIRMENT', 'DEAFNESS', 'CONGENITAL HEARING LOSS', 'HEARING LOSS', 'HYPOACUSIS']",207
3,HP:0003128,"['LACTICACIDOSIS', 'LACTICACIDEMIA', 'HYPERLACTICACIDEMIA', 'INCREASED LACTATE IN BODY', 'LACTIC ACIDEMIA', 'LACTIC ACIDOSIS']",43
4,HP:0012465,"['INCREASED IRON CONCENTRATION IN LIVER', 'INCREASED LIVER IRON LEVEL', 'ELEVATED HEPATIC IRON CONCENTRATION']",2
5,HP:0001397,"['LIVER STEATOSIS', 'FATTY LIVER', 'FATTY INFILTRATION OF LIVER', 'STEATOSIS', 'HEPATIC STEATOSIS']",45
6,HP:0100613,['DEATH IN EARLY ADULTHOOD'],10
7,HP:0012464,DECREASED TRANSFERRIN SATURATION,1
8,HP:0004925,CHRONIC LACTIC ACIDOSIS,3
9,HP:0003452,INCREASED SERUM IRON,5
10,HP:0003355,"['HYPERAMINOACIDURIA', 'INCREASED LEVELS OF ANIMO ACIDS IN URINE', 'HIGH URINE AMINO ACID LEVELS', 'ABNORMAL URINARY AMINO-ACID FINDINGS', 'AMINOACIDURIA']",30
11,HP:0003542,"['INCREASED SERUM PYRUVIC ACID', 'INCREASED SERUM PYRUVATE']",4
12,HP:0001396,"['SLOWED OR BLOCKED FLOW OF BILE FROM LIVER', 'CHOLESTASIS']",16
13,HP:0003281,"['HIGH FERRITIN LEVEL', 'INCREASED PLASMA FERRITIN', 'INCREASED FERRITIN', 'INCREASED SERUM FERRITIN LEVEL', 'HYPERFERRITINAEMIA', 'ELEVATED SERUM FERRITIN', 'HYPERFERRITINEMIA', 'INCREASED SERUM FERRITIN']",13
14,HP:0001511,"['PRENATAL GROWTH RETARDATION', 'PRENATAL GROWTH FAILURE', 'PRENATAL-ONSET GROWTH RETARDATION', 'PRENATAL GROWTH DEFICIENCY', 'IUGR', 'INTRAUTERINE GROWTH RETARDATION, IUGR', 'INTRAUTERINE GROWTH FAILURE', 'PRENATAL ONSET GROWTH RETARDATION', 'INTRAUTERINE GROWTH RESTRICTION', 'IN UTERO GROWTH RETARDATION', 'INTRAUTERINE RETARDATION', 'SMALL FOR GESTATIONAL AGE INFANT', 'INTRAUTERINE GROWTH RETARDATION']",119
15,HP:0001319,"['HYPOTONIA, IN NEONATAL ONSET', 'LOW MUSCLE TONE, IN NEONATAL ONSET', 'HYPOTONIA, NEONATAL', 'CONGENITAL HYPOTONIA', 'NEONATAL HYPOTONIA']",54
16,HP:0005105,"['ABNORMAL OF MORPHOLOGY OF NOSE', 'ABNORMAL OF SHAPE OF NOSE', 'ABNORMAL OF NASAL SHAPE', 'ABNORMAL NOSE MORPHOLOGY', 'ABNORMAL NASAL MORPHOLOGY']",7
17,HP:0000006,"['AUTOSOMAL DOMINANT', 'AUTOSOMAL DOMINANT TYPE', 'AUTOSOMAL DOMINANT FORM', 'AUTOSOMAL DOMINANT INHERITANCE']",844
18,HP:0000007,"['AUTOSOMAL RECESSIVE', 'AUTOSOMAL RECESSIVE FORM', 'AUTOSOMAL RECESSIVE PREDISPOSITION', 'AUTOSOMAL RECESSIVE INHERITANCE']",1048
19,HP:0011267,"['THIRD-DEGREE MICROTIA', 'MICROTIA, THIRD DEGREE']",3
20,HP:0000153,"['ABNORMAL MOUTH', 'ABNORMALITY OF THE MOUTH']",13
21,HP:0002933,VENTRAL HERNIA,1
22,HP:0000188,"['DECREASED UPPER LABIAL LENGTH', 'SHORT UPPER LIP', 'DECREASED VERTICAL LENGTH OF UPPER LIP', 'VERTICAL DEFICIENCY OF UPPER LIP', 'DECREASED HEIGHT OF UPPER LIP', 'DECREASED UPPER LABIAL HEIGHT', 'SHORTENING OF UPPER LIP']",5
23,HP:0001762,"['PES EQUINOVARUS', 'CLUB FOOT', 'CLUBFEET', 'CLUBFOOT', 'FOOT, TALIPES EQUINOVARUS', 'EQUINOVARUS', 'PES EQUINUS', 'CLUB FEET', 'TALIPES VARUS', 'TALIPES EQUINOVARUS', 'TALIPES EQUINOVARUS, CONGENITAL']",134
24,HP:0000316,"['WIDE-SET EYES', 'WIDELY SPACED EYES', 'EXCESSIVE ORBITAL SEPARATION', 'WIDENED INTERPUPILLARY DISTANCE', 'INCREASED DISTANCE BETWEEN EYE SOCKETS', 'INCREASED DISTANCE BETWEEN EYES', 'OCULAR HYPERTELORISM', 'INCREASED INTERPUPILLARY DISTANCE', 'HYPERTELORISM']",258
25,HP:0010049,"['BRACHYMETACARPALIA', 'METACARPAL HYPOPLASIA', 'SHORTENING OF METACARPALS', 'SHORTENED LONG BONE OF HAND', 'SHORTENED METACARPALS', 'HYPOPLASTIC METACARPAL', 'SHORT METACARPALS', 'SHORT METACARPAL BONES', 'SHORT METACARPAL']",54
26,HP:0008736,"['UNDERDEVELOPED PENIS', 'HYPOPLASIA OF PENIS']",41
27,HP:0006709,"['ABSENT/SMALL NIPPLES', 'ABSENT/RUDIMENTARY NIPPLES', 'NIPPLES ABSENT OR RUDIMENTARY', 'ABSENT/UNDERDEVELOPED NIPPLES', 'APLASIA/HYPOPLASIA OF THE NIPPLES']",9
28,HP:0000958,"['DRY SKIN', 'XEROSIS']",49
29,HP:0007392,['EXCESSIVE WRINKLED SKIN'],10
30,HP:0008070,"['SPARSE HAIR', 'THIN, SPARSE HAIR']",52
31,HP:0008551,"['SMALL EARS', 'BILATERAL MICROTIA', 'UNDERDEVELOPED EARS', 'SMALL PINNAE', 'HYPOPLASTIC EARS', 'HYPOPLASIA OF THE EXTERNAL EAR', 'HYPOPLASTIC PINNA', 'MICROTIA']",38
32,HP:0001000,"['PIGMENTATION ANOMALY', 'ABNORMALITY OF SKIN PIGMENTATION', 'ABNORMAL SKIN PIGMENTATION', 'ABNORMAL PIGMENTATION', 'PIGMENTARY SKIN CHANGES', 'ABNORMALITY OF PIGMENTATION', 'PIGMENTARY CHANGES', 'ABNORMAL SKIN COLOR']",19
33,HP:0001510,"['RETARDED GROWTH', 'GROWTH FAILURE', 'POOR GROWTH', 'GROWTH DELAY', 'DELAYED GROWTH', 'GROWTH DEFICIENCY', 'GROWTH RETARDATION', 'VERY POOR GROWTH']",74
34,HP:0001537,"['UMBILICAL HERNIAS', 'UMBILICAL HERNIA']",92
