,d.id,n.N_Name,count(s)
0,['DOID:11054'],"['膀胱癌(BLADDER CANCER)', 'BLADDER CANCER', 'TUMOR OF THE BLADDER', '膀胱肿瘤(TUMOR OF THE BLADDER)', '膀胱癌', 'URINARY BLADDER CANCER']",2
1,['DOID:4450'],"['肾上腺样瘤', 'ADENOCARCINOMA OF KIDNEY', 'HYPERNEPHROMA', 'RCC', '肾腺癌', 'RENAL CELL CARCINOMA', '肾细胞癌']",2
2,['DOID:3070'],"['""MALIGNANT NEUROGLIAL TUMOR"" EXACT [NCI2004_11_17:C4822]', '“恶性神经胶质瘤” EXACT [NCI2004_11_17：C4822]', '""GLIOMA, MALIGNANT, NO ICD-O SUBTYPE"" EXACT [SNOMEDCT_2005_07_31:74532006]', '""MALIGNANT GLIOMA - CATEGORY"" EXACT [SNOMEDCT_2005_07_31:416500007]', '""MALIGNANT GLIOMA (MORPHOLOGIC ABNORMALITY)"" EXACT [SNOMEDCT_2005_07_31:269505000]', '“神经胶质瘤，恶性的” EXACT [SNOMEDCT_2005_07_31：189909006]', '“恶性神经胶质瘤（形态异常）” EXACT [SNOMEDCT_2005_07_31：269505000]', '“恶性神经胶质瘤-类别” EXACT [SNOMEDCT_2005_07_31：416500007]', '""GLIOMA, MALIGNANT"" EXACT [SNOMEDCT_2005_07_31:189909006]', '“神经胶质瘤，恶性的，无ICD-O亚型” EXACT [SNOMEDCT_2005_07_31：74532006]', 'GLIOMA, MALIGNANT', '胶质瘤(GLIOMA)（形态异常）', '恶性胶质瘤（形态异常）', 'GLIAL CELL TUMOR', 'MALIGNANT NEUROGLIAL TUMOR', 'MALIGNANT GLIOMA (MORPHOLOGIC ABNORMALITY)', 'GLIOMA NOS (MORPHOLOGIC ABNORMALITY)', 'GLIOMAS (MORPHOLOGIC ABNORMALITY)', 'GLIOMA (MORPHOLOGIC ABNORMALITY)', 'GLIOMA NOS', '胶质瘤，恶性，无ICD-O亚型', '恶性胶质瘤 - 类别', '神经胶质瘤，恶性', 'NEUROGLIAL TUMOR', '胶质瘤', 'GLIOMA', '胶质细胞瘤', '胶质瘤NOS(形态异常)', 'MALIGNANT GLIOMA - CATEGORY', 'GLIOMA, NOS', '胶质瘤(GLIOMAS)（形态异常）', '恶性神经胶质瘤', '神经胶质瘤', 'GLIOMA, MALIGNANT, NO ICD-O SUBTYPE', '神经胶质瘤，NOS', '胶质瘤NOS', 'MALIGNANT GLIOMA', '恶性胶质瘤']",5
3,['DOID:3347'],"['骨骼肉瘤', 'OSTEOGENIC SARCOMA', '成骨肉瘤', '骨组织肿瘤', 'BONE TISSUE NEOPLASM', 'OSTEOID SARCOMA', 'SKELETAL SARCOMA', '类骨肉瘤', '骨肉瘤', 'OSTEOSARCOMA']",3
4,['DOID:3371'],"['骨软骨肉瘤', 'CHONDROSARCOMA OF BONE', '骨原发性软骨肉瘤', 'PRIMARY CHONDROSARCOMA OF THE BONE', 'CHONDROSARCOMA', '软骨肉瘤']",3
5,DOID:3369,"['EWINGS SARCOMA-PRIMITIVE NEUROECTODERMAL TUMOR', 'LOCALIZED PERIPHERAL PRIMITIVE NEUROECTODERMAL TUMOR', ""EWING'S TUMOR"", ""LOCALIZED EWING'S SARCOMA/PERIPHERAL PRIMITIVE NEUROECTODERMAL TUMOR"", 'PERIPHERAL PRIMITIVE NEUROECTODERMAL TUMOR', ""LOCALIZED EWING'S TUMOR"", 'EWINGS SARCOMA', 'PNET OF THORACOPULMONARY REGION', 'LOCALIZED EWING SARCOMA', ""EWING'S FAMILY LOCALIZED TUMOR"", ""LOCALIZED EWING'S SARCOMA"", ""EWING'S SARCOMA/PERIPHERAL PRIMITIVE NEUROECTODERMAL TUMOR"", 'EWING SARCOMA']",2
6,['DOID:4905'],"['外分泌胰腺癌', 'CARCINOMA OF PANCREAS (DISORDER)', 'EXOCRINE PANCREAS CARCINOMA', '胰腺癌', 'CARCINOMA OF PANCREAS', '胰腺癌(紊乱)', '胰腺癌，家族性', 'EXOCRINE CANCER', 'PANCREATIC CARCINOMA, FAMILIAL', 'PANCREATIC CARCINOMA']",4
7,['DOID:2394'],"['卵巢恶性肿瘤', '恶性卵巢肿瘤', 'OVARY NEOPLASM', 'TUMOR OF THE OVARY', 'MALIGNANT OVARIAN TUMOR', 'OVARIAN NEOPLASM', 'MALIGNANT TUMOUR OF OVARY', '卵巢肿瘤(OVARY NEOPLASM)', '卵巢肿瘤(OVARIAN NEOPLASM)', '子房肿瘤', '原发性卵巢癌', 'PRIMARY OVARIAN CANCER', '卵巢癌', 'OVARIAN CANCER']",5
8,DOID:0050747,LYMPHOPLASMACYTIC LYMPHOMA,7
9,['DOID:10283'],"['""MALIGNANT TUMOR OF THE PROSTATE"" EXACT [NCI2004_11_17:C7378]', '“前列腺恶性肿瘤（紊乱）” EXACT [SNOMEDCT_2005_07_31：399068003]', '“前列腺癌” EXACT [CSP2005：2016-2641]', '""MALIGNANT TUMOR OF PROSTATE (DISORDER)"" EXACT [SNOMEDCT_2005_07_31:399068003]', '""MALIGNANT TUMOR OF PROSTATE (DISORDER)"" EXACT [SNOMEDCT_2005_07_31:363448003]', '“前列腺恶性肿瘤” EXACT [NCI2004_11_17：C7378]', '""PROSTATIC CANCER"" EXACT [CSP2005:2016-2641]', '“前列腺恶性肿瘤（紊乱）” EXACT [SNOMEDCT_2005_07_31：363448003]', '遗传性前列腺癌', 'MALIGNANT TUMOR OF THE PROSTATE', '前列腺肿瘤', 'TUMOR OF THE PROSTATE', '前列腺癌，家族性', '前列腺恶性肿瘤', 'HEREDITARY PROSTATE CANCER', 'NGP - NEW GROWTH OF PROSTATE', '前列腺癌(PROSTATIC CANCER)', 'NGP - 前列腺的新生长', 'PROSTATE NEOPLASM', 'PROSTATIC NEOPLASM', 'PROSTATIC CANCER', '前列腺肿瘤(TUMOR OF THE PROSTATE)', 'PROSTATE CANCER, FAMILIAL', 'MALIGNANT NEOPLASM OF PROSTATE', 'PROSTATE CANCER', '前列腺癌']",3
