,d.id,n.N_Name,count(s)
0,DOID:0070066,"['AUTOSOMAL DOMINANT MENTAL RETARDATION 36', 'MRD36', 'AUTOSOMAL DOMINANT NON-SYNDROMIC INTELLECTUAL DISABILITY 36']",30
1,DOID:0110070,"['ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY 1', 'ARVC1', 'UHL ANOMALY', 'ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA 1']",5
2,DOID:0110071,"['ARVD2', 'FAMILIAL ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA 2', 'ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY 2', 'ARVC2', 'ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA 2']",6
3,DOID:0070065,"['AUTOSOMAL DOMINANT MENTAL RETARDATION 35', 'MRD35', 'AUTOSOMAL DOMINANT NON-SYNDROMIC INTELLECTUAL DISABILITY 35']",22
4,DOID:0111270,"['SULFOCYSTEINURIA', 'ISOLATED SULFITE OXIDASE DEFICIENCY']",19
5,DOID:0070068,"['MRD38', 'PSYCHOMOTOR RETARDATION, EPILEPSY, AND LANGUAGE DISABILITY SYNDROME', 'PRELDS', 'AUTOSOMAL DOMINANT MENTAL RETARDATION 38', 'AUTOSOMAL DOMINANT NON-SYNDROMIC INTELLECTUAL DISABILITY 38']",16
6,DOID:0070067,"['MRD37', 'AUTOSOMAL DOMINANT MENTAL RETARDATION 37', 'WHSUS', 'WHITE-SUTTON SYNDROME']",43
7,DOID:0070069,"['AUTOSOMAL DOMINANT MENTAL RETARDATION 39', 'MRD39', 'AUTOSOMAL DOMINANT NON-SYNDROMIC INTELLECTUAL DISABILITY 39']",6
8,DOID:0110079,"['LCA8', 'LEBER CONGENITAL AMAUROSIS 8']",7
9,DOID:0050635,"['AHC', 'ALTERNATING HEMIPLEGIA OF CHILDHOOD']",14
10,DOID:0111278,"['PHID', 'HISTIOCYTOSIS WITH JOINT CONTRACTURES AND SENSORINEURAL DEAFNESS', 'SHML', 'CUTANEOUS HYPERPIGMENTATION WITH HYPERTRICHOSIS, HEPATOSPLENOMEGALY, HEART ANOMALIES, AND HYPOGONADISM WITH OR WITHOUT HEARING LOSS', 'SINUS HISTIOCYTOSIS AND MASSIVE LYMPHADENOPATHY', 'FAMILIAL ROSAI-DORFMAN DISEASE', 'HJCD', 'FAISALABAD HISTIOCYTOSIS', 'H SYNDROME', 'PIGMENTED HYPERTRICHOSIS WITH INSULIN-DEPENDENT DIABETES MELLITUS', 'HISTIOCYTOSIS AND LYMPHADENOPATHY WITH OR WITHOUT CUTANEOUS, CARDIAC, AND/OR ENDOCRINE FEATURES, JOINT CONTRACTURES AND/OR DEAFNESS', 'HISTIOCYTOSIS-LYMPHADENOPATHY PLUS SYNDROME']",24
11,DOID:0110912,"['INTEGRIN ACTIVATION DEFICIENCY DISEASE', 'IADD', 'LAD3', 'LAD1V', 'LAD1 VARIANT', 'LEUKOCYTE ADHESION DEFICIENCY TYPE III', 'LEUKOCYTE ADHESION DEFICIENCY 1 VARIANT', 'LEUKOCYTE ADHESION DEFICIENCY 3']",18
12,DOID:0111012,"['CORD7', 'CONE-ROD DYSTROPHY 7']",6
13,DOID:0050636,"['GERMAN TYPE AMYLOIDOSIS', 'OSTERTAG TYPE AMYLOIDOSIS', 'AMYLOIDOSIS, FAMILIAL RENAL', 'SYSTEMIC NONNEUROPATHIC AMYLOIDOSIS', 'FAMILIAL VISCERAL AMYLOIDOSIS']",12
14,DOID:0110913,"['MILD HYPOPHOSPHATASIA', 'ADULT HYPOPHOSPHATASIA']",13
15,DOID:0111277,"['MTPD', 'TFP DEFICIENCY', 'TFPD', 'MITOCHONDRIAL TRIFUNCTIONAL PROTEIN DEFICIENCY']",24
16,DOID:0111011,"['RCD2', 'CORD6', 'RETINAL CONE DYSTROPHY 2', 'CONE-ROD DYSTROPHY 6']",12
17,DOID:0110910,"['LYMPHOCYTE FUNCTION-ASSOCIATED ANTIGEN 1 IMMUNODEFICIENCY', 'LAD1', 'LEUKOCYTE ADHESION DEFICIENCY TYPE I', 'LFA1 IMMUNODEFICIENCY', 'LEUKOCYTE ADHESION DEFICIENCY 1']",7
18,DOID:0110077,"['ARVC9', 'FAMILIAL ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA 9', 'ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY 9', 'ARVD9', 'ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA 9']",8
19,DOID:0050633,OCULAR ALBINISM,7
20,DOID:0111010,"['CORD5', 'CONE-ROD DYSTROPHY 5']",6
21,DOID:0111276,"['AUTOSOMAL RECESSIVE SENSORY ATAXIC NEUROPATHY WITH MITOCHONDRIAL DNA DELETIONS', 'SANDO', 'SENSORY ATAXIC NEUROPATHY, DYSARTHRIA, AND OPHTHALMOPARESIS']",37
22,DOID:0110078,"['LCA1', 'AMAUROSIS CONGENITA OF LEBER I', 'LEBER CONGENITAL AMAUROSIS 1']",16
23,DOID:0050634,"['ALOPECIA UNIVERSALIS CONGENITA', 'ALOPECIA UNIVERSALIS']",4
24,DOID:0111275,"['SPEECH AND LANGUAGE DISORDER WITH OROFACIAL DYSPRAXIA', 'CAS', 'SPEECH-LANGUAGE DISORDER TYPE 1', 'ARTICULATORY APRAXIA', 'DEVELOPMENTAL VERBAL DYSPRAXIA', 'DEVELOPMENTAL APRAXIA OF SPEECH', 'CHILDHOOD APRAXIA OF SPEECH', 'SPEECH-LANGUAGE DISORDER-1']",6
25,DOID:0060481,"['GOLDBERG-SHPRINTZEN MEGACOLON SYNDROME', 'GOLDBERG-SHPRINTZEN SYNDROME']",35
26,DOID:0050631,"['ALLAN-HERNDON SYNDROME', 'ALLAN-HERNDON-DUDLEY SYNDROME']",36
27,DOID:0111274,"['CEREBRAL, OCULAR, DENTAL, AURICULAR, AND SKELETAL SYNDROME', 'CEREBRO-OCULO-DENTO-AURICULO-SKELETAL SYNDROME', 'CODAS SYNDROME']",40
28,DOID:0060480,"['LEFT VENTRICULAR HYPERTRABECULATION', 'LEFT VENTRICULAR NONCOMPACTION']",12
29,DOID:0110076,"['ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY 8', 'FAMILIAL ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA 8', 'ARVD8', 'ARVC8', 'ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA 8']",8
30,DOID:0111273,"['NEUROPATHY-ATAXIA-RETINITIS PIGMENTOSA SYNDROME', 'NEUROPATHY, ATAXIA AND RETINITIS PIGMENTOSA', 'NEUROGENIC MUSCLE WEAKNESS-ATAXIA-RETINITIS PIGMENTOSA SYNDROME', 'NARP SYNDROME']",15
31,DOID:0111272,"['EDS IX', 'EHLERS-DANLOS SYNDROME TYPE 9', 'OHS', 'EHLERS-DANLOS SYNDROME TYPE IX', 'X-LINKED CUTIS LAXA', 'OCCIPITAL HORN SYNDROME']",41
32,DOID:0110074,"['FAMILIAL ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA 5', 'ARVD5', 'ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY 5', 'ARVC5', 'ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA 5']",11
33,DOID:11119,"['MOTOR-VERBAL TIC DISORDER', ""GUINON'S DISEASE"", 'PSYCHOGENIC TICS', 'TOURETTE SYNDROME', 'GILLES DE LA TOURETTE SYNDROME']",9
34,DOID:0050630,"['FORSIUS-ERIKSSON TYPE OCULAR ALBINISM', 'FORSIUS-ERIKSSON SYNDROME', 'ALAND ISLAND EYE DISEASE']",8
35,DOID:0111271,"['TRICHOMEGALY-RETINA PIGMENTARY DEGENERATION-DWARFISM SYNDROME', 'OMCS', 'EYELASHES LONG MENTAL RETARDATION', 'LONG EYELASHES-INTELLECTUAL DISABILITY SYNDROME', 'OLIVER-MCFARLANE SYNDROME']",19
36,DOID:0060473,"['NIIKAWA-KUROKI SYNDROME', 'KABUKI MAKE UP SYNDROME', 'KMS', 'KABUKI SYNDROME']",72
37,DOID:0111008,"['COD1', 'X-LINKED CONE DYSTROPHY 1', 'CORDX1', 'X-LINKED CONE-ROD DYSTROPHY 1']",9
38,DOID:14711,"['OPITZ-KAVEGGIA SYNDROME', 'KELLER SYNDROME', 'FG SYNDROME']",74
39,DOID:0060472,"['POIKILODERMA OF KINDLER', 'HEREDITARY ACROKERATOTIC POIKILODERMA OF KINDLER-WEARY', 'KINDLER SYNDROME']",17
40,DOID:0110909,"['IBD25', 'EARLY ONSET AUTOSOMAL RECESSIVE INFLAMMATORY BOWEL DISEASE 25', 'INFLAMMATORY BOWEL DISEASE 25']",6
41,DOID:0111007,"['CORDX3', 'X-LINKED CONE-ROD DYSTROPHY 3']",14
42,DOID:0111005,"['CRD2', 'CONE-ROD RETINAL DYSTROPHY 2', 'RETINAL CONE-ROD DYSTROPHY 2', 'RCRD2', 'CORD2', 'CONE-ROD DYSTROPHY 2']",7
43,DOID:0060211,"['ALS20', 'AMYOTROPHIC LATERAL SCLEROSIS 20', 'AMYOTROPHIC LATERAL SCLEROSIS TYPE 20']",6
44,DOID:0050639,"['FAMILIAL PRIMARY LOCALIZED CUTANEOUS AMYLOIDOSIS', 'PCA', 'PRIMARY CUTANEOUS AMYLOIDOSIS']",11
45,DOID:0111004,"['JBTS9', 'JOUBERT SYNDROME 9']",9
46,DOID:0060210,"['ALS19', 'AMYOTROPHIC LATERAL SCLEROSIS 19', 'AMYOTROPHIC LATERAL SCLEROSIS TYPE 19']",5
47,DOID:0060476,"['RENAL HAMARTOMAS, NEPHROBLASTOMATOSIS AND FETAL GIGANTISM', 'NEPHROBLASTOMATOSIS - FETAL ASCITES - MACROSOMIA - WILMS TUMOR', 'NEPHROBLASTOMATOSIS, FETAL ASCITES, MACROSOMIA AND WILMS TUMOR', 'PERLMAN SYNDROME']",29
48,DOID:0111003,"['JBTS8', 'JOUBERT SYNDROME 8']",12
49,DOID:0111269,"['MSMA', 'MYOPATHY, MYOSIN STORAGE, AUTOSOMAL DOMINANT', 'MYOPATHY WITH LYSIS OF TYPE I MYOFIBRILS', 'AUTOSOMAL DOMINANT HYALINE BODY MYOPATHY']",16
50,DOID:0110069,"['FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 4', 'FTDALS4']",20
51,DOID:0060475,"['EEOC', 'CHILDHOOD ONSET EPILEPTIC ENCEPHALOPATHY']",13
52,DOID:0050637,"['AMYLOIDOSIS, MERETOJA TYPE', 'FINNISH TYPE AMYLOIDOSIS']",12
53,DOID:0111268,"['MYOPATHY, MYOSIN STORAGE, AUTOSOMAL RECESSIVE', 'MSMB', 'AUTOSOMAL RECESSIVE HYALINE BODY MYOPATHY']",15
54,DOID:0111002,"['JBTS7', 'JOUBERT SYNDROME 7']",23
55,DOID:1540,"['CARCINOMA OF PARATHYROID GLAND', 'MALIGNANT NEOPLASM OF THE PARATHYROID', 'PARATHYROID GLAND NEOPLASM', 'MALIGNANT TUMOR OF PARATHYROID GLAND', 'PARATHYROID GLAND CANCER', 'PARATHYROID NEOPLASM', 'NEOPLASM OF PARATHYROID GLAND', 'MALIGNANT NEOPLASM OF PARATHYROID GLAND', 'PARATHYROID GLAND ADENOCARCINOMA', 'PARATHYROID CARCINOMA']",5
56,DOID:0060474,"['ECYT2', 'CHUVASH POLYCYTHEMIA', 'CHUVASH TYPE POLYCYTHEMIA', 'CHUVASH ERYTHROMATOSIS', 'AUTOSOMAL RECESSIVE BENIGN ERYTHROCYTOSIS', 'FAMILIAL ERYTHROCYTOSIS 2']",13
