,d.id,n.N_Name,count(s)
0,MONDO:0012197,"['IDIOPATHIC BONE MARROW FAILURE', 'IDIOPATHIC APLASTIC APLASIA', 'SECONDARY APLASTIC ANEMIA', 'APLASTIC ANEMIA IDIOPATHIC', 'APLASTIC ANEMIA', 'ANEMIA APLASTIC', 'APLASTIC ANEMIA, SUSCEPTIBILITY TO', 'IDIOPATHIC APLASTIC ANEMIA']",2
1,MONDO:0009741,"['NEUROBLASTOMA, SUSCEPTIBILITY TO', 'SUSCEPTIBILITY TO NEUROBLASTOMA', 'NEUROBLASTOMA, SUSCEPTIBILITY TO, 1']",26
2,MONDO:0012287,"['STICKLER SYNDROME, TYPE I, NONSYNDROMIC OCULAR', 'RHEGMATOGENOUS RETINAL DETACHMENT, AUTOSOMAL DOMINANT', 'STICKLER SYNDROME, TYPE I, PREDOMINANTLY OCULAR', 'STICKLER SYNDROME, ATYPICAL']",4
3,MONDO:0009619,"['MICROCEPHALY-MICROMELIA SYNDROME', 'MIMIS', 'MICROCEPHALY-MICROMELIA SYNDROME; MIMIS']",21
4,http://www.ebi.ac.uk/efo/EFO_1001997,"['ACHALASIA-ADDISONIANISM-ALACRIMIA SYNDROME', 'ALLGROVE SYNDROME', 'TRIPLE-A SYNDROME', 'OBSOLETE_TRIPLE-A SYNDROME']",25
5,http://www.orpha.net/ORDO/Orphanet_93583,"['UPSHAW-SCHULMAN SYNDROME', 'CONGENITAL THROMBOTIC THROMBOCYTOPENIC PURPURA DUE TO ADAMTS-13 DEFICIENCY']",18
6,http://www.orpha.net/ORDO/Orphanet_98809,"['FAMILIAL PKD', 'FAMILIAL PAROXYSMAL KINESIGENIC DYSKINESIA', 'PAROXYSMAL KINESIGENIC CHOREATHETOSIS', 'PAROXYSMAL KINESIGENIC DYSKINESIA']",7
7,http://www.orpha.net/ORDO/Orphanet_98886,BLEEDING DIATHESIS DUE TO INTEGRIN ALPHA2-BETA1 DEFICIENCY,4
8,http://www.orpha.net/ORDO/Orphanet_93605,"['BARTTER SYNDROME TYPE III', 'BARTTER SYNDROME TYPE 3', 'ADULT BARTTER SYNDROME', 'CLASSIC BARTTER SYNDROME']",19
9,http://www.orpha.net/ORDO/Orphanet_59303,"['NISCH SYNDROME', 'IHSC', 'ICHTHYOSIS - HYPOTRICHOSIS - SCLEROSING CHOLANGITIS']",17
10,http://www.ebi.ac.uk/efo/EFO_0003113,"['PRESENILE DEMENTIA WITH BONE CYST', 'NHD', 'PLOSL', 'NASU-HAKOLA DISEASE', 'OBSOLETE_POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY']",33
11,http://www.orpha.net/ORDO/Orphanet_284973,"['MFS2', 'MARFAN SYNDROME TYPE 2']",50
12,MONDO:0014994,"['GLOBAL DEVELOPMENTAL DELAY, ABSENT OR HYPOPLASTIC CORPUS CALLOSUM, AND DYSMORPHIC FACIES', 'GLOBAL DEVELOPMENTAL DELAY, ABSENT OR HYPOPLASTIC CORPUS CALLOSUM, AND DYSMORPHIC FACIES; GDACCF', 'GDACCF']",37
13,http://www.orpha.net/ORDO/Orphanet_284963,"['MFS1', 'MARFAN SYNDROME TYPE 1']",57
14,http://www.orpha.net/ORDO/Orphanet_63261,"['HEREDITARY ENDOTHELIOPATHY - RETINOPATHY - NEPHROPATHY - STROKE', 'HERNS SYNDROME']",31
15,HP:0001873,"['LOW PLATELET COUNT', 'THROMBOCYTOPENIA']",6
16,http://www.orpha.net/ORDO/Orphanet_98808,"['GTPCH1-DEFICIENT DOPA-RESPONSIVE DYSTONIA', 'DYT5A', 'AUTOSOMAL DOMINANT SEGAWA SYNDROME', 'HEREDITARY PROGRESSIVE DYSTONIA WITH MARKED DIURNAL FLUCTUATION', 'GTPCH1-DEFICIENT DRD', 'HPD WITH MARKED DIURNAL FLUCTUATION', 'AUTOSOMAL DOMINANT DOPA-RESPONSIVE DYSTONIA']",17
17,MONDO:0014957,"['LANGUAGE DELAY AND ATTENTION DEFICIT-HYPERACTIVITY DISORDER/COGNITIVE IMPAIRMENT WITH OR WITHOUT CARDIAC ARRHYTHMIA; LADCI', 'LANGUAGE DELAY AND ATTENTION DEFICIT-HYPERACTIVITY DISORDER/COGNITIVE IMPAIRMENT WITH OR WITHOUT CARDIAC ARRHYTHMIA', 'LADCI']",8
18,MONDO:0013497,"['OKT4 EPITOPE DEFICIENCY', 'T4 EPITOPE DEFICIENCY']",1
19,MONDO:0014946,"['SIHIWES', 'SIFRIM-HITZ-WEISS SYNDROME', 'SIFRIM-HITZ-WEISS SYNDROME; SIHIWES', 'SIFRIM-HITZ-WEISS MULTIPLE CONGENITAL ANOMALIES-MENTAL RETARDATION SYNDROME']",35
20,MONDO:0014948,"['SRMMD', 'SHORT STATURE, RHIZOMELIC, WITH MICROCEPHALY, MICROGNATHIA, AND DEVELOPMENTAL DELAY', 'SHORT STATURE, RHIZOMELIC, WITH MICROCEPHALY, MICROGNATHIA, AND DEVELOPMENTAL DELAY; SRMMD']",28
