,d.id,n.N_Name,count(s)
0,MONDO:0013538,"['ALPHA-2-MACROGLOBULIN DEFICIENCY', 'ALPHA-2-MACROGLOBULIN DEFICIENCY; A2MD']",1
1,http://purl.obolibrary.org/obo/OMIM_302500,,15
2,MONDO:0013539,"['LTC4 SYNTHASE DEFICIENCY', 'LEUKOTRIENE C4 SYNTHASE DEFICIENCY', 'HYPOTONIA-FAILURE TO THRIVE-MICROCEPHALY SYNDROME']",6
3,MONDO:0014996,"['ELP2 AUTOSOMAL RECESSIVE NON-SYNDROMIC INTELLECTUAL DISABILITY', 'MRT58', 'INTELLECTUAL DISABILITY, AUTOSOMAL RECESSIVE 58; MRT58', 'MENTAL RETARDATION, AUTOSOMAL RECESSIVE TYPE 58', 'MENTAL RETARDATION, AUTOSOMAL RECESSIVE 58', 'AUTOSOMAL RECESSIVE NON-SYNDROMIC INTELLECTUAL DISABILITY CAUSED BY MUTATION IN ELP2', 'MENTAL RETARDATION, AUTOSOMAL RECESSIVE 58; MRT58', 'AUTOSOMAL RECESSIVE INTELLECTUAL DISABILITY 58', 'ELP2-RELATED DISORDER', 'INTELLECTUAL DISABILITY, AUTOSOMAL RECESSIVE 58']",17
4,MONDO:0013537,"['DEAFNESS, AUTOSOMAL RECESSIVE TYPE 29', 'CLDN14 AUTOSOMAL RECESSIVE NONSYNDROMIC DEAFNESS', 'AUTOSOMAL RECESSIVE NONSYNDROMIC DEAFNESS CAUSED BY MUTATION IN CLDN14', 'AUTOSOMAL RECESSIVE DEAFNESS 29', 'AUTOSOMAL RECESSIVE NONSYNDROMIC DEAFNESS TYPE 29', 'DFNB29', 'DEAFNESS, AUTOSOMAL RECESSIVE 29; DFNB29', 'DEAFNESS, AUTOSOMAL RECESSIVE 29', 'AUTOSOMAL RECESSIVE NONSYNDROMIC DEAFNESS 29']",4
5,http://purl.obolibrary.org/obo/OMIM_192600,,7
6,MONDO:0014997,"['NPHP20', 'NEPHRONOPHTHISIS (DISEASE) CAUSED BY MUTATION IN MAPKBP1', 'NEPHRONOPHTHISIS TYPE 20', 'MAPKBP1 NEPHRONOPHTHISIS (DISEASE)', 'NEPHRONOPHTHISIS 20', 'NEPHRONOPHTHISIS 20; NPHP20']",6
7,MONDO:0014927,"['JBTS27', 'JOUBERT SYNDROME TYPE 27', 'B9D1 JOUBERT SYNDROME', 'JOUBERT SYNDROME 27', 'JOUBERT SYNDROME CAUSED BY MUTATION IN B9D1', 'JOUBERT SYNDROME 27; JBTS27']",8
8,MONDO:0013530,"['ATRIAL FIBRILLATION, FAMILIAL, 10', 'ATRIAL FIBRILLATION, FAMILIAL, TYPE 10', 'SCN5A FAMILIAL ATRIAL FIBRILLATION', 'FAMILIAL ATRIAL FIBRILLATION CAUSED BY MUTATION IN SCN5A', 'ATRIAL FIBRILLATION, FAMILIAL, 10; ATFB10', 'ATFB10']",7
9,MONDO:0014921,"['EARLY INFANTILE EPILEPTIC ENCEPHALOPATHY CAUSED BY MUTATION IN GABRB3', 'EIEE43', 'EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 43; EIEE43', 'GABRB3 EARLY INFANTILE EPILEPTIC ENCEPHALOPATHY', 'EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, TYPE 43', 'EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 43']",10
10,MONDO:0014962,"['AUTOSOMAL RECESSIVE NON-SYNDROMIC INTELLECTUAL DISABILITY CAUSED BY MUTATION IN MBOAT7', 'MRT57', 'INTELLECTUAL DISABILITY, AUTOSOMAL RECESSIVE 57; MRT57', 'MENTAL RETARDATION, AUTOSOMAL RECESSIVE TYPE 57', 'MBOAT7 AUTOSOMAL RECESSIVE NON-SYNDROMIC INTELLECTUAL DISABILITY', 'MENTAL RETARDATION, AUTOSOMAL RECESSIVE 57', 'MENTAL RETARDATION, AUTOSOMAL RECESSIVE 57; MRT57', 'INTELLECTUAL DISABILITY, AUTOSOMAL RECESSIVE 57']",17
11,MONDO:0014963,"['SHASHI-PENA SYNDROME; SHAPNS', 'SHASHI-PENA SYNDROME', 'SHAPNS']",28
12,MONDO:0014923,"['PEELING SKIN SYNDROME 5', 'SERPINB8 PEELING SKIN SYNDROME', 'PEELING SKIN SYNDROME CAUSED BY MUTATION IN SERPINB8', 'PEELING SKIN SYNDROME TYPE 5', 'PEELING SKIN SYNDROME 5; PSS5', 'PSS5']",3
13,MONDO:0014979,"['MYOCLONUS, INTRACTABLE, NEONATAL; NEIMY', 'MYOCLONUS, INTRACTABLE, NEONATAL', 'NEIMY']",17
14,http://purl.obolibrary.org/obo/OMIM_615041,,6
15,http://purl.obolibrary.org/obo/OMIM_616445,,3
16,MONDO:0014994,"['GLOBAL DEVELOPMENTAL DELAY, ABSENT OR HYPOPLASTIC CORPUS CALLOSUM, AND DYSMORPHIC FACIES', 'GLOBAL DEVELOPMENTAL DELAY, ABSENT OR HYPOPLASTIC CORPUS CALLOSUM, AND DYSMORPHIC FACIES; GDACCF', 'GDACCF']",37
