,d.id,n.N_Name,count(s)
0,http://purl.obolibrary.org/obo/OGG_3000140821,"['SRS', 'RSS']",29
1,http://purl.obolibrary.org/obo/OGG_3000001243,"['CMM1', 'MLM', 'FAMMM', 'DNS', 'CMM']",7
2,http://purl.obolibrary.org/obo/OGG_3100528024,"['WAGR', 'C11DELP13', 'DEL11P13']",15
3,http://purl.obolibrary.org/obo/OGG_3000023706,"['BGCI', 'IBGC', 'IBGC1']",27
4,http://purl.obolibrary.org/obo/OGG_3000007149,"['TOCG', 'TEC', 'TOC']",6
5,http://purl.obolibrary.org/obo/OGG_3100379201,"['ARSAL', 'SPAX3']",16
6,http://purl.obolibrary.org/obo/OGG_3000008114,"['SIV', 'IV']",9
7,http://purl.obolibrary.org/obo/OGG_3100820633,"['C2DELQ23.1', 'DEL2Q23.1']",42
8,http://purl.obolibrary.org/obo/OGG_3000008144,"['FIM1', 'FIMG1', 'MGI', 'FIMG', 'CMS1A1']",24
9,http://purl.obolibrary.org/obo/OGG_3000001714,"['DGS', 'CATCH22', 'VCF', 'DGCR']",53
10,http://purl.obolibrary.org/obo/OGG_3000008056,"['FBP', 'ECB2']",13
11,http://purl.obolibrary.org/obo/OGG_3000008090,"['SPMD', 'SPPM']",5
12,http://purl.obolibrary.org/obo/OGG_3000001637,"['DSCR', 'DCR']",31
13,http://purl.obolibrary.org/obo/OGG_3000004169,"['MCKD', 'MCD', 'ADMCKD1', 'ADMCKD', 'MCKD1']",20
14,http://purl.obolibrary.org/obo/OGG_3000791085,"['C17DELQ21.31', 'DEL17Q21.31']",83
15,http://purl.obolibrary.org/obo/OGG_3100502567,"['CHR15DELQ24', 'DEL15Q24']",92
16,http://purl.obolibrary.org/obo/OGG_3000005131,"['PDB', 'PDB1']",8
17,http://purl.obolibrary.org/obo/OGG_3100188869,"['EIG7', 'SCZD13', 'MICRODEL15Q13.3', 'DEL15Q13.3']",19
18,http://purl.obolibrary.org/obo/OGG_3000000261,"['AMC1', 'AMCN1', 'AMC', 'AMCN']",6
19,http://purl.obolibrary.org/obo/OGG_3000001219,"['CMPD3', 'CMD1C']",8
20,http://purl.obolibrary.org/obo/OGG_3000050644,"['SMRXS', 'MRXS11']",13
21,http://purl.obolibrary.org/obo/OGG_3000386724,"['ALI3', 'AMIGO-3', 'AMIGO3']",5
22,http://purl.obolibrary.org/obo/OGG_3100302680,"['MICRODELXQ28', 'DELXQ28']",16
23,http://purl.obolibrary.org/obo/OGG_3000005722,"['PSS1', 'PSORS2']",6
24,http://purl.obolibrary.org/obo/OGG_3000008221,"['BBBG2', 'GBBB2', 'OGS2']",58
25,http://purl.obolibrary.org/obo/OGG_3100217370,"['C1DELQ21', 'DEL1Q21']",16
26,http://purl.obolibrary.org/obo/OGG_3000008268,"['CIIPX', 'CIIP', 'IPOX']",21
27,http://purl.obolibrary.org/obo/OGG_3000003387,"['FICCA', 'ICCA']",8
28,http://purl.obolibrary.org/obo/OGG_3000054719,"['NCRNA', 'RNANC']",19
29,http://purl.obolibrary.org/obo/OGG_3000008184,"['HB1', 'PFHB1', 'PFHB1B', 'HBN1']",8
