,d.id,n.N_Name,count(s)
0,http://purl.bioontology.org/ontology/OMIM/300989,"['MRLS', 'MEESTER-LOEYS SYNDROME']",18
1,http://purl.bioontology.org/ontology/OMIM/213700,"['CTX', 'CEREBRAL CHOLESTERINOSIS', 'CEREBROTENDINOUS XANTHOMATOSIS']",30
2,http://purl.bioontology.org/ontology/OMIM/614025,"['HL DEFICIENCY', 'LIPC DEFICIENCY', 'HEPATIC LIPASE DEFICIENCY']",3
3,http://purl.bioontology.org/ontology/OMIM/605637,"['MYOPATHY WITH CONGENITAL JOINT CONTRACTURES, OPHTHALMOPLEGIA, AND RIMMED VACUOLES', 'MYPOP', 'IBM3, FORMERLY', 'INCLUSION BODY MYOPATHY 3, AUTOSOMAL DOMINANT, FORMERLY', 'MYOPATHY, PROXIMAL, AND OPHTHALMOPLEGIA']",17
4,http://purl.bioontology.org/ontology/OMIM/608133,"['RP7', 'LCA18', 'RETINITIS PIGMENTOSA 7, DIGENIC', 'LEBER CONGENITAL AMAUROSIS 18', 'RETINITIS PIGMENTOSA 7']",10
5,http://purl.bioontology.org/ontology/OMIM/609524,"['MYOPATHY, MYOFIBRILLAR, FILAMIN C-RELATED', 'MFM5', 'FILAMINOPATHY, AUTOSOMAL DOMINANT', 'MYOPATHY, MYOFIBRILLAR, 5']",12
6,http://purl.bioontology.org/ontology/OMIM/609529,"['IGA, SELECTIVE DEFICIENCY OF, TACI-RELATED', 'IMMUNOGLOBULIN A, SELECTIVE DEFICIENCY OF, TACI-RELATED', 'IGAD2', 'IMMUNOGLOBULIN A DEFICIENCY 2']",5
7,http://purl.bioontology.org/ontology/OMIM/258315,"['OMODYSPLASIA, GENERALIZED FORM', 'MICROMELIC DYSPLASIA, CONGENITAL, WITH DISLOCATION OF RADIUS', 'OMOD1', 'OMODYSPLASIA, AUTOSOMAL RECESSIVE', 'OMODYSPLASIA 1']",32
8,http://purl.bioontology.org/ontology/OMIM/207800,"['ARGINASE DEFICIENCY', 'HYPERARGININEMIA', 'ARG1 DEFICIENCY', 'ARGININEMIA']",13
9,http://purl.bioontology.org/ontology/OMIM/611523,"['PCH6', 'ENCEPHALOPATHY, FATAL INFANTILE, WITH MITOCHONDRIAL RESPIRATORY CHAIN DEFECTS', 'PONTOCEREBELLAR HYPOPLASIA, TYPE 6']",27
10,http://purl.bioontology.org/ontology/OMIM/616875,"['CAVIPMR', 'CEREBELLAR ATROPHY, VISUAL IMPAIRMENT, AND PSYCHOMOTOR RETARDATION']",36
11,http://purl.bioontology.org/ontology/OMIM/236700,"['HMCS', 'KAUFMAN-MCKUSICK SYNDROME', 'HYDROMETROCOLPOS SYNDROME', 'HYDROMETROCOLPOS, POSTAXIAL POLYDACTYLY, AND CONGENITAL HEART MALFORMATION', 'MKKS', 'MCKUSICK-KAUFMAN SYNDROME']",20
12,http://purl.bioontology.org/ontology/OMIM/616893,"['NPHS13', 'NEPHROTIC SYNDROME, TYPE 13']",4
13,http://purl.bioontology.org/ontology/OMIM/616887,"['MRT52', 'MENTAL RETARDATION, AUTOSOMAL RECESSIVE 52']",5
14,http://purl.bioontology.org/ontology/OMIM/312700,"['RS', 'XLRS1', 'RS1', 'RETINOSCHISIS 1, X-LINKED, JUVENILE']",12
15,http://purl.bioontology.org/ontology/OMIM/259775,"['OSTEOSCLEROTIC BONE DYSPLASIA, LETHAL', 'RNS', 'RAINE SYNDROME']",49
16,http://purl.bioontology.org/ontology/OMIM/615420,"['MYP22', 'MYOPIA 22, AUTOSOMAL DOMINANT']",3
17,http://purl.bioontology.org/ontology/OMIM/614023,"['PSPHD', 'PHOSPHOSERINE PHOSPHATASE DEFICIENCY']",10
18,http://purl.bioontology.org/ontology/OMIM/612940,"['CUTIS LAXA WITH PROGEROID FEATURES', 'ARCL2B', 'CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIB']",29
19,http://purl.bioontology.org/ontology/OMIM/300985,"['CBAVDX', 'VAS DEFERENS, CONGENITAL BILATERAL APLASIA OF, X-LINKED']",3
20,http://purl.bioontology.org/ontology/OMIM/268130,"['DKCA5', 'EXUDATIVE RETINOPATHY WITH BONE MARROW FAILURE', 'DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 5', 'REVESZ SYNDROME']",23
21,http://purl.bioontology.org/ontology/OMIM/609535,"['CLOPIDOGREL, POOR METABOLISM OF', 'OMEPRAZOLE, POOR METABOLISM OF', 'PROGUANIL, POOR METABOLISM OF', 'MEPHENYTOIN, POOR METABOLISM OF', 'DRUG METABOLISM, POOR, CYP2C19-RELATED']",1
22,http://purl.bioontology.org/ontology/OMIM/200500,"['ACHP', 'ACHEIROPODIA', 'ACHEIROPODY, BRAZILIAN TYPE', 'ACHEIROPODY']",15
23,http://purl.bioontology.org/ontology/OMIM/612938,"['GDFD', 'GROWTH RETARDATION, DEVELOPMENTAL DELAY, AND FACIAL DYSMORPHISM']",29
24,http://purl.bioontology.org/ontology/OMIM/616896,"['MTDPS14', 'MITOCHONDRIAL DNA DEPLETION SYNDROME 14 (CARDIOENCEPHALOMYOPATHIC TYPE)']",13
25,http://purl.bioontology.org/ontology/OMIM/615483,"['IBGC5', 'BASAL GANGLIA CALCIFICATION, IDIOPATHIC, 5']",16
26,http://purl.bioontology.org/ontology/OMIM/612943,"['RP42', 'RETINITIS PIGMENTOSA 42']",3
