,d.id,n.N_Name,count(s)
0,http://www.orpha.net/ORDO/Orphanet_29073,MULTIPLE MYELOMA,26
1,http://www.orpha.net/ORDO/Orphanet_2388,CHOREOACANTHOCYTOSIS,74
2,http://www.orpha.net/ORDO/Orphanet_2394,PYRUVATE DEHYDROGENASE E3 DEFICIENCY,36
3,http://www.orpha.net/ORDO/Orphanet_98970,FLECK CORNEAL DYSTROPHY,3
4,http://www.orpha.net/ORDO/Orphanet_98933,"MULTIPLE SYSTEM ATROPHY, PARKINSONIAN TYPE",29
5,http://www.orpha.net/ORDO/Orphanet_411709,RENAL AGENESIS,18
6,http://www.orpha.net/ORDO/Orphanet_2377,LAURENCE-MOON SYNDROME,31
7,http://www.orpha.net/ORDO/Orphanet_431329,AUTOSOMAL RECESSIVE SPASTIC PARAPLEGIA TYPE 57,16
8,http://www.orpha.net/ORDO/Orphanet_411712,MATERNAL RIBOFLAVIN DEFICIENCY,7
9,http://www.orpha.net/ORDO/Orphanet_98993,EARLY-ONSET POSTERIOR POLAR CATARACT,5
10,http://www.orpha.net/ORDO/Orphanet_98960,THIEL-BEHNKE CORNEAL DYSTROPHY,5
11,http://www.orpha.net/ORDO/Orphanet_98957,GELATINOUS DROP-LIKE CORNEAL DYSTROPHY,6
12,http://www.orpha.net/ORDO/Orphanet_431361,PROGRESSIVE ENCEPHALOPATHY WITH LEUKODYSTROPHY DUE TO DECR DEFICIENCY,33
13,http://www.orpha.net/ORDO/Orphanet_98938,COLOBOMATOUS MICROPHTHALMIA,62
14,http://www.orpha.net/ORDO/Orphanet_64753,SPINOCEREBELLAR ATAXIA WITH AXONAL NEUROPATHY TYPE 2,53
15,http://www.orpha.net/ORDO/Orphanet_398088,HEREDITARY CRYOHYDROCYTOSIS WITH NORMAL STOMATIN,6
16,http://www.orpha.net/ORDO/Orphanet_93612,CYSTINURIA TYPE A,11
17,http://www.orpha.net/ORDO/Orphanet_228140,"IDIOPATHIC VENTRICULAR FIBRILLATION, NON BRUGADA TYPE",3
18,http://www.orpha.net/ORDO/Orphanet_324588,FAMILIAL DYSKINESIA AND FACIAL MYOKYMIA,15
19,http://www.orpha.net/ORDO/Orphanet_228169,AUTOSOMAL DOMINANT STRIATAL NEURODEGENERATION,12
20,http://www.orpha.net/ORDO/Orphanet_494550,SQUAMOUS CELL CARCINOMA OF THE LARYNX,2
21,http://www.orpha.net/ORDO/Orphanet_464288,SHORT STATURE-BRACHYDACTYLY-OBESITY-GLOBAL DEVELOPMENTAL DELAY SYNDROME,32
22,http://www.orpha.net/ORDO/Orphanet_98961,REIS-BÜCKLERS CORNEAL DYSTROPHY,6
23,http://www.orpha.net/ORDO/Orphanet_93591,INFANTILE NEPHRONOPHTHISIS,26
24,http://www.orpha.net/ORDO/Orphanet_98984,PULVERULENT CATARACT,5
25,http://www.orpha.net/ORDO/Orphanet_93601,XANTHINURIA TYPE I,8
26,http://www.orpha.net/ORDO/Orphanet_29072,HEREDITARY PHEOCHROMOCYTOMA-PARAGANGLIOMA,64
27,http://www.orpha.net/ORDO/Orphanet_64748,DEJERINE-SOTTAS SYNDROME,28
28,http://www.orpha.net/ORDO/Orphanet_98920,SPINAL MUSCULAR ATROPHY WITH RESPIRATORY DISTRESS TYPE 1,29
29,http://www.orpha.net/ORDO/Orphanet_209919,IDIOPATHIC COPPER-ASSOCIATED CIRRHOSIS,10
30,http://www.orpha.net/ORDO/Orphanet_2378,LAURIN-SANDROW SYNDROME,34
31,http://www.orpha.net/ORDO/Orphanet_93616,HEMOGLOBIN H DISEASE,5
32,http://www.orpha.net/ORDO/Orphanet_98954,MEESMANN CORNEAL DYSTROPHY,7
33,http://www.orpha.net/ORDO/Orphanet_98962,GRANULAR CORNEAL DYSTROPHY TYPE I,6
34,http://www.orpha.net/ORDO/Orphanet_98907,NEUTRAL LIPID STORAGE DISEASE WITH ICHTHYOSIS,17
35,http://www.orpha.net/ORDO/Orphanet_476084,AUTOSOMAL RECESSIVE LIMB-GIRDLE MUSCULAR DYSTROPHY TYPE 2X,11
36,http://www.orpha.net/ORDO/Orphanet_2380,LEGG-CALVÉ-PERTHES DISEASE,9
37,http://www.orpha.net/ORDO/Orphanet_220386,SEMILOBAR HOLOPROSENCEPHALY,65
38,http://www.orpha.net/ORDO/Orphanet_98963,GRANULAR CORNEAL DYSTROPHY TYPE II,3
39,http://www.orpha.net/ORDO/Orphanet_324575,HYPERINSULINISM DUE TO HNF1A DEFICIENCY,24
40,http://www.orpha.net/ORDO/Orphanet_2379,EARLY-ONSET PARKINSONISM-INTELLECTUAL DISABILITY SYNDROME,20
41,http://www.orpha.net/ORDO/Orphanet_98913,POSTSYNAPTIC CONGENITAL MYASTHENIC SYNDROMES,105
