,d.id,n.N_Name,count(s)
0,PW:0002208,"['DOPAMINE BETA HYDROXYLASE DEFICIENCY PATHWAY', 'SMP:00498', 'DOPAMINE BETA-HYDROXYLASE DEFICIENCY PATHWAY']",9
1,PW:0002019,"['PYROGLUTAMIC ACIDURIA PATHWAY', 'SMP:00337', '5-OXOPROLINURIA DISEASE PATHWAY', 'SMP:00143', '5-OXOPROLINEMIA DISEASE PATHWAY', 'GLUTATHIONE SYNTHASE DEFICIENCY PATHWAY']",14
2,PW:0001868,"['MAT I/III DEFICIENCY PATHWAY', 'METHIONINE ADENOSYLTRANSFERASE DEFICIENCY PATHWAY', 'MAT DEFICIENCY PATHWAY', 'METHIONINE ADENOSYLTRANSFERASE I/III DEFICIENCY PATHWAY', 'ISOLATED PERSISTENT HYPERMETHIONINEMIA PATHWAY', 'SMP:00221', 'HYPERMETHIONINEMIA PATHWAY']",8
3,PW:0001603,"['UREIDOPROPIONASE DEFICIENCY PATHWAY', 'SMP:00172', 'BETA-UREIDOPROPIONASE DEFICIENCY PATHWAY']",15
4,PW:0001869,"['MEDIUM-CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY PATHWAY', 'MCADH DEFICIENCY PATHWAY', 'ACADM DEFICIENCY PATHWAY', 'SMP:00542', 'MCAD DEFICIENCY PATHWAY', 'MEDIUM CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY PATHWAY']",17
5,PW:0001997,"['GLYCOGEN STORAGE DISEASE PATHWAY, TYPE VII', 'PHOSPHOFRUCTOKINASE MYOPATHY PATHWAY', 'MUSCLE PHOSPHOFRUCTOKINASE DEFICIENCY PATHWAY', 'SMP:00531', 'TARUI DISEASE PATHWAY', 'GLYCOGEN STORAGE DISEASE TYPE VII PATHWAY']",14
6,PW:0001605,"['OROTIC ACIDURIA 1 DISEASE PATHWAY', 'UMP SYNTHASE DEFICIENCY PATHWAY', 'SMP:00219', 'OROTIC ACIDURIA 1 PATHWAY']",14
7,PW:0001870,"['DIHYDROLIPOAMIDE DEHYDROGENASE DEFICIENCY PATHWAY', 'KETOACIDEMIA PATHWAY', 'BRANCHED CHAIN KETOACIDURIA PATHWAY', 'SMP:00199', 'MAPLE SYRUP URINE DISEASE PATHWAY']",21
8,PW:0002017,"['ACUTE INTERMITTENT PORPHYRIA DISEASE PATHWAY', 'SMP:00344', 'ACUTE INTERMITTENT PORPHYRIA PATHWAY']",22
9,PW:0002018,"['GK DEFICIENCY PATHWAY', 'GKD PATHWAY', 'HYPERGLYCEROLEMIA DISEASE PATHWAY', 'HYPERGLYCEROLEMIA PATHWAY', 'GLYCEROL KINASE DEFICIENCY PATHWAY', 'SMP:00187']",31
