,ID(n),count(s),n.I_CODE,n.N_Name,Weight,tf_idf_sum
0,1,16,"['GARD:0000001', 'OMIM:603358', 'ORPHA:53693', 'ORPHANET:53693', 'UMLS:C1864002']","['GRACILE SYNDROME', 'FLNMS', 'FINNISH LACTIC ACIDOSIS WITH HEPATIC HEMOSIDEROSIS', 'FELLMAN SYNDROME', 'GROWTH RETARDATION, AMINOACIDURIA, CHOLESTASIS, IRON OVERLOAD, LACTIC ACIDOSIS AND EARLY DEATH', 'FINNISH LETHAL NEONATAL METABOLIC SYNDROME', 'FELLMAN DISEASE', 'GROWTH DELAY-AMINOACIDURIA-CHOLESTASIS-IRON OVERLOAD-LACTIC ACIDOSIS-EARLY DEATH SYNDROME', 'GROWTH RESTRICTION-AMINOACIDURIA-CHOLESTASIS-IRON OVERLOAD-LACTIC ACIDOSIS-EARLY DEATH SYNDROME']",4.6399999999999996e-05,1.3821856357589212e-07
1,3,49,"['GARD:0000003', 'OMIM:200110', 'ORPHA:920', 'ORPHANET:920', 'UMLS:C1860224']","['ABLEPHARON MACROSTOMIA SYNDROME', 'AMS', 'CONGENITAL ABLEPHARON, ABSENT EYELASHES/EYEBROWS, MACROSTOMIA, AURICULAR, NASAL, GENITAL AND OTHER SYSTEMIC ANOMALIES']",0.000100774,1.1402209738582782e-06
2,7,14,"['GARD:0000005', 'OMIM:200100', 'ORPHA:14', 'ORPHANET:14']","['ABETALIPOPROTEINEMIA', 'BASSEN KORNZWEIG SYNDROME', 'MICROSOMAL TRIGLYCERIDE TRANSFER PROTEIN DEFICIENCY DISEASE', 'MICROSOMAL TRIGLYCERIDE TRANSFER PROTEIN DEFICIENCY', 'ABL', 'ABETALIPOPROTEINEMIA NEUROPATHY', 'APOLIPOPROTEIN B DEFICIENCY', 'BETALIPOPROTEIN DEFICIENCY DISEASE', 'CONGENITAL BETALIPOPROTEIN DEFICIENCY SYNDROME', 'MTP DEFICIENCY', 'BASSEN-KORNZWEIG DISEASE', 'HOMOZYGOUS FAMILIAL HYPOBETALIPOPROTEINEMIA']",3.71e-05,1.3032262778902545e-07
3,11,29,"['GARD:0000007', 'OMIM:102370', 'ORPHA:969', 'ORPHANET:969', 'UMLS:C0265287']","['ACROMICRIC DYSPLASIA', 'ACROMICRIC SKELETAL DYSPLASIA']",5.9699999999999994e-05,3.964164492507216e-07
4,15,9,"['GARD:0000011', 'OMIM:104290']","['ALTERNATING HEMIPLEGIA OF CHILDHOOD', 'ALTERNATING HEMIPLEGIA SYNDROME', 'AHC', 'ALTERNATING HEMIPLEGIA']",2.35e-05,7.00905740671593e-08
5,19,19,"['GARD:0000013', 'OMIM:206700', 'ORPHA:1065', 'ORPHANET:1065', 'UMLS:C0431401']","['GILLESPIE SYNDROME', 'ANIRIDIA, CEREBELLAR ATAXIA AND MENTAL DEFICIENCY']",4.09e-05,2.593402340419361e-07
6,25,23,"['GARD:0000019', 'OMIM:274270', 'ORPHA:1675', 'ORPHANET:1675']","['DIHYDROPYRIMIDINE DEHYDROGENASE DEFICIENCY', 'DPD DEFICIENCY', 'HEREDITARY THYMINE-URACILURIA', 'FAMILIAL PYRIMIDINEMIA']",4.5600000000000004e-05,3.68035688815381e-07
7,29,12,"['GARD:0000022', 'OMIM:262000', 'ORPHA:123', 'ORPHANET:123', 'UMLS:C0266006']","['BJORNSTAD SYNDROME', 'BJS', 'PILI TORTI AND NERVE DEAFNESS', 'PTND', 'PILI TORTI-SENSORINEURAL HEARING LOSS', 'DEAFNESS AND PILI TORTI, BJORNSTAD TYPE']",3.04e-05,9.747654323912353e-08
8,31,21,"['GARD:0000023', 'OMIM:110100', 'ORPHA:126', 'ORPHANET:126', 'UMLS:C2931135']","['BLEPHAROPHIMOSIS-EPICANTHUS INVERSUS-PTOSIS SYNDROME', 'BLEPHAROPHIMOSIS TYPES 1 AND 2']",4.6399999999999996e-05,2.4000770087069916e-07
9,37,24,"['GARD:0000028', 'OMIM:302380', 'ORPHA:1388', 'ORPHANET:1388', 'UMLS:C1844887']","['CATEL MANZKE SYNDROME', 'HYPERPHALANGY-CLINODACTYLY OF INDEX FINGER WITH PIERRE ROBIN SYNDROME', 'PIERRE ROBIN SYNDROME WITH HYPERPHALANGY AND CLINODACTYLY', 'PALATODIGITAL SYNDROME CATEL-MANZKE TYPE', 'INDEX FINGER ANOMALY WITH PIERRE ROBIN SYNDROME']",4.84e-05,3.291468956273189e-07
