,ID(n),count(s),d.id,n.I_CODE,n.N_Name,Weight,tf_idf_sum
0,82727,5,HP:0001994,"['MESH:D005198', 'SNOMEDCT_US:236468006', 'UMLS:C0341703', 'SNOMEDCT_US:44673006', 'HP:0001994']","['RENAL TUBULAR FANCONI SYNDROME', ""'DE TONI-FANCONI-DEBRE' SYNDROME"", 'RENAL FANCONI SYNDROME']",2.23e-05,2.7291524890946475e-08
1,98209,48,HP:0001394,"['UMLS:C0023890', 'MESH:D008103', 'SNOMEDCT_US:19943007', 'HP:0001394']","['HEPATIC CIRRHOSIS', 'SCAR TISSUE REPLACES HEALTHY TISSUE IN THE LIVER', 'LIVER CIRRHOSIS', 'CIRRHOSIS']",0.00013123600000000002,1.109996276774093e-06
2,59646,207,HP:0000365,"['HP:0008563', 'HP:0001754', 'HP:0001728', 'HP:0000404', 'HP:0008560', 'HP:0001729', 'UMLS:C0018772', 'SNOMEDCT_US:103276001', 'SNOMEDCT_US:95828007', 'UMLS:C1384666', 'MESH:D003638', 'MESH:D034381', 'UMLS:C0011053', 'SNOMEDCT_US:15188001', 'UMLS:C0339789', 'SNOMEDCT_US:343087000', 'HP:0000365']","['HEARING DEFECT', 'CONGENITAL DEAFNESS', 'HEARING IMPAIRMENT', 'DEAFNESS', 'CONGENITAL HEARING LOSS', 'HEARING LOSS', 'HYPOACUSIS']",0.000470388,1.9793412418565653e-05
3,75348,43,HP:0003128,"['HP:0005960', 'HP:0003255', 'UMLS:C0347959', 'SNOMEDCT_US:190882007', 'UMLS:C0001125', 'SNOMEDCT_US:91273001', 'MESH:D000140', 'HP:0003128']","['LACTICACIDOSIS', 'LACTICACIDEMIA', 'HYPERLACTICACIDEMIA', 'INCREASED LACTATE IN BODY', 'LACTIC ACIDEMIA', 'LACTIC ACIDOSIS']",0.000136852,9.326714059889404e-07
4,78847,2,HP:0012465,"['UMLS:C4022891', 'HP:0012465']","['INCREASED IRON CONCENTRATION IN LIVER', 'INCREASED LIVER IRON LEVEL', 'ELEVATED HEPATIC IRON CONCENTRATION']",1.9699999999999998e-05,5.927394182162501e-09
5,98159,45,HP:0001397,"['HP:0002252', 'HP:0200121', 'MESH:D005234', 'SNOMEDCT_US:197321007', 'SNOMEDCT_US:442191002', 'UMLS:C2711227', 'HP:0001397']","['LIVER STEATOSIS', 'FATTY LIVER', 'FATTY INFILTRATION OF LIVER', 'STEATOSIS', 'HEPATIC STEATOSIS']",0.00012615600000000002,1.0052842073087758e-06
6,125687,10,HP:0100613,"['UMLS:C4022012', 'HP:0100613']",['DEATH IN EARLY ADULTHOOD'],2.8899999999999998e-05,9.115298649656664e-08
7,78855,1,HP:0012464,"['UMLS:C0919785', 'HP:0012464']",DECREASED TRANSFERRIN SATURATION,1.64e-05,1.9722785886832243e-09
8,111594,3,HP:0004925,"['HP:0004899', 'UMLS:C1839437', 'HP:0004925']",CHRONIC LACTIC ACIDOSIS,2.3800000000000003e-05,1.0369320004595583e-08
9,104771,5,HP:0003452,"['UMLS:C0151900', 'SNOMEDCT_US:165624002', 'HP:0003452']",INCREASED SERUM IRON,2.47e-05,1.7530081577492004e-08
10,95708,30,HP:0003355,"['HP:0002903', 'HP:0200014', 'UMLS:C4020843', 'UMLS:C0238621', 'SNOMEDCT_US:35912001', 'HP:0003355']","['HYPERAMINOACIDURIA', 'INCREASED LEVELS OF ANIMO ACIDS IN URINE', 'HIGH URINE AMINO ACID LEVELS', 'ABNORMAL URINARY AMINO-ACID FINDINGS', 'AMINOACIDURIA']",0.0003435,1.963957181016906e-06
11,113834,4,HP:0003542,"['UMLS:C1849488', 'HP:0003542']","['INCREASED SERUM PYRUVIC ACID', 'INCREASED SERUM PYRUVATE']",2.44e-05,1.1258191737022924e-08
12,98169,16,HP:0001396,"['SNOMEDCT_US:33688009', 'SNOMEDCT_US:197446008', 'UMLS:C0008370', 'SNOMEDCT_US:30144000', 'MESH:D002779', 'HP:0001396']","['SLOWED OR BLOCKED FLOW OF BILE FROM LIVER', 'CHOLESTASIS']",6.829999999999999e-05,2.0476179600301464e-07
