/DisorderList/Disorder/DisorderType/Name,/DisorderList/Disorder/Name,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceClass/Name,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceGeographic/Name,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceType/OrphaNumber,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceType/OrphaNumber/#agg,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceValidationStatus/@id,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceValidationStatus/@id/#agg,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceValidationStatus/Name/@lang,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceValidationStatus/Name,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceValidationStatus/OrphaNumber,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceValidationStatus/OrphaNumber/#agg,/DisorderList/Disorder/PrevalenceList/Prevalence/Source,/DisorderList/Disorder/PrevalenceList/Prevalence/ValMoy,/DisorderList/Disorder/PrevalenceList/Prevalence/ValMoy/#agg
Disease,"Multiple epiphyseal dysplasia, Al-Gazali type",,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,11389160[PMID]_9689990[PMID]_ [EXPERT],4,4
Disease,"Multiple epiphyseal dysplasia, Al-Gazali type",<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_11389160[PMID]_9689990[PMID],0,0
Disease,Alexander disease,<1 / 1 000 000,Japan,409967,409967,25958,25958,en,Validated,410293,410293,21533827[PMID]_[EXPERT],0.037,0.037
Disease,Alexander disease,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,"Multiple epiphyseal dysplasia, with miniepiphyses",,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,15523498[PMID],2,2
Disease,"Multiple epiphyseal dysplasia, with miniepiphyses",<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_15523498[PMID],0,0
Disease,Alpha-mannosidosis,1-9 / 1 000 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,European Medicines Agency 2005[INST],0.1,0.1
Disease,Alpha-mannosidosis,<1 / 1 000 000,Australia,409968,409968,25958,25958,en,Validated,410293,410293,9918480[PMID],0.09,0.09
Disease,Alpha-mannosidosis,1-9 / 1 000 000,Norway,409968,409968,25965,25965,en,Not yet validated,410294,410294,7900112[PMID],0.13,0.13
Disease,Alpha-mannosidosis,<1 / 1 000 000,Netherlands,409968,409968,25958,25958,en,Validated,410293,410293,10480370[PMID],0.09,0.09
Disease,Alpha-mannosidosis,1-9 / 1 000 000,Portugal,409968,409968,25958,25958,en,Validated,410293,410293,14685153[PMID],0.12,0.12
Disease,Alpha-mannosidosis,1-9 / 1 000 000,Czech Republic,409968,409968,25958,25958,en,Validated,410293,410293,20490927[PMID],0.38,0.38
Disease,Alpha-mannosidosis,<1 / 1 000 000,Sweden,409968,409968,25958,25958,en,Validated,410293,410293,25274184[PMID],0.07,0.07
Disease,"Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia",,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,15523498[PMID],3,3
Disease,"Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia",<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_15523498[PMID],0,0
Disease,"Metaphyseal chondrodysplasia, Kaitila type",,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,6979929[PMID],2,2
Disease,"Metaphyseal chondrodysplasia, Kaitila type",<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_6979929[PMID],0,0
Disease,Aspartylglucosaminuria,1-9 / 1 000 000,Australia,409968,409968,25958,25958,en,Validated,410293,410293,9918480[PMID],0.2,0.2
Disease,Aspartylglucosaminuria,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Aspartylglucosaminuria,1-9 / 1 000 000,Sweden,409968,409968,25958,25958,en,Validated,410293,410293,25274184[PMID],0.62,0.62
Disease,Aspartylglucosaminuria,1-9 / 100 000,Finland,409968,409968,25958,25958,en,Validated,410293,410293,27906067[PMID],3.35,3.35
Malformation syndrome,Brachydactyly-short stature-retinitis pigmentosa syndrome,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,7252997[PMID]_28285769[PMID],12,12
Malformation syndrome,Brachydactyly-short stature-retinitis pigmentosa syndrome,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_7252997[PMID]_28285769[PMID],0,0
Disease,Multiple sulfatase deficiency,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,ISBN:9780071363228[OTHER],50,50
Disease,Multiple sulfatase deficiency,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_ISBN:9780071363228[OTHER],0,0
Disease,Beta-mannosidosis,1-9 / 1 000 000,Europe,409968,409968,25958,25958,en,Validated,410293,410293,14685153[PMID]_10480370[PMID]_20490927[PMID],0.14,0.14
Disease,Beta-mannosidosis,1-9 / 1 000 000,Czech Republic,409968,409968,25958,25958,en,Validated,410293,410293,20490927[PMID],0.16,0.16
Disease,Beta-mannosidosis,1-9 / 1 000 000,Netherlands,409968,409968,25958,25958,en,Validated,410293,410293,10480370[PMID],0.13,0.13
Disease,Beta-mannosidosis,1-9 / 1 000 000,Portugal,409968,409968,25958,25958,en,Validated,410293,410293,14685153[PMID],0.12,0.12
Disease,Beta-mannosidosis,Unknown,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET,0,0
Malformation syndrome,Pontocerebellar hypoplasia type 5,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,16470708[PMID],3,3
Malformation syndrome,Pontocerebellar hypoplasia type 5,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_16470708[PMID],0,0
Disease,Canavan disease,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Canavan disease,1-9 / 100 000,Specific population,409967,409967,25958,25958,en,Validated,410293,410293,20301412[PMID]_ORPHANET,7,7
Disease,Canavan disease,1-9 / 100 000,Worldwide,409968,409968,25958,25958,en,Validated,410293,410293,[EXPERT],1,1
Malformation syndrome,Pontocerebellar hypoplasia type 4,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,[EXPERT],10,10
Malformation syndrome,Pontocerebellar hypoplasia type 4,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_20952379[PMID],0,0
Clinical subtype,Von Willebrand disease type 1,1-5 / 10 000,Europe,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Malformation syndrome,Pontocerebellar hypoplasia type 6,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,25809939[PMID],10,10
Malformation syndrome,Pontocerebellar hypoplasia type 6,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_25809939[PMID],0,0
Disease,Cystinosis,1-9 / 1 000 000,Worldwide,409968,409968,25958,25958,en,Validated,410293,410293,12110740[PMID]_18008091[PMID]_11562417[PMID],0.75,0.75
Disease,Cystinosis,1-9 / 1 000 000,Europe,409968,409968,25958,25958,en,Validated,410293,410293,[EXPERT],0.5,0.5
Disease,Cystinosis,1-9 / 1 000 000,France,409968,409968,25958,25958,en,Validated,410293,410293,1018302[PMID],0.31,0.31
Disease,Cystinosis,1-9 / 1 000 000,Germany,409968,409968,25958,25958,en,Validated,410293,410293,3921756[PMID],0.59,0.59
Disease,Cystinosis,1-9 / 100 000,United Kingdom,409968,409968,25958,25958,en,Validated,410293,410293,9610798[PMID],2.1,2.1
Disease,Cystinosis,1-9 / 1 000 000,Australia,409968,409968,25958,25958,en,Validated,410293,410293,9918480[PMID],0.52,0.52
Disease,Cystinosis,1-9 / 100 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,European Medicines Agency 2014[INST],1.5,1.5
Disease,Cystinosis,1-9 / 1 000 000,Denmark,409968,409968,25958,25958,en,Validated,410293,410293,975942[PMID]_27102039[PMID],0.87,0.87
Disease,Cystinosis,1-9 / 1 000 000,Sweden,409968,409968,25958,25958,en,Validated,410293,410293,25274184[PMID]_27102039[PMID],0.38,0.38
Disease,Cystinosis,1-9 / 100 000,Specific population,409968,409968,25958,25958,en,Validated,410293,410293,1937486[PMID]_25274184[PMID],1.6,1.6
Clinical subtype,Von Willebrand disease type 2A,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Farber disease,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,29048419[PMID],96,96
Disease,Farber disease,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_29048419[PMID],0,0
Disease,Farber disease,<1 / 1 000 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,European Medicines Agency 2014[INST],0,0
Clinical subtype,Von Willebrand disease type 2,1-5 / 10 000,Europe,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Fucosidosis,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,10094192[PMID],100,100
Disease,Fucosidosis,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_10094192[PMID],0,0
Disease,Fucosidosis,1-9 / 1 000 000,Sweden,409968,409968,25958,25958,en,Validated,410293,410293,25274184[PMID],0.1,0.1
Clinical subtype,Von Willebrand disease type 2M,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Glycogen storage disease due to acid maltase deficiency,1-9 / 1 000 000,Europe,409968,409968,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0.8,0.8
Disease,Glycogen storage disease due to acid maltase deficiency,1-9 / 1 000 000,Portugal,409968,409968,25958,25958,en,Validated,410293,410293,14685153[PMID],0.17,0.17
Disease,Glycogen storage disease due to acid maltase deficiency,1-9 / 1 000 000,Italy,409968,409968,25958,25958,en,Validated,410293,410293,11953730[PMID],0.83,0.83
Disease,Glycogen storage disease due to acid maltase deficiency,1-9 / 100 000,Netherlands,409968,409968,25958,25958,en,Validated,410293,410293,10480370[PMID]_10482961[PMID],2.25,2.25
Disease,Glycogen storage disease due to acid maltase deficiency,1-9 / 1 000 000,Czech Republic,409968,409968,25958,25958,en,Validated,410293,410293,20490927[PMID],0.37,0.37
Disease,Glycogen storage disease due to acid maltase deficiency,1-5 / 10 000,Austria,409968,409968,25958,25958,en,Validated,410293,410293,22133539[PMID],11.5,11.5
Disease,Glycogen storage disease due to acid maltase deficiency,1-9 / 100 000,United States,409968,409968,25958,25958,en,Validated,410293,410293,9738873[PMID],2.5,2.5
Disease,Glycogen storage disease due to acid maltase deficiency,1-9 / 1 000 000,Australia,409968,409968,25958,25958,en,Validated,410293,410293,9918480[PMID],0.68,0.68
Disease,Glycogen storage disease due to acid maltase deficiency,1-9 / 100 000,China,409968,409968,25958,25958,en,Validated,410293,410293,3106710[PMID],2,2
Disease,Glycogen storage disease due to acid maltase deficiency,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Glycogen storage disease due to acid maltase deficiency,1-9 / 1 000 000,Sweden,409968,409968,25958,25958,en,Validated,410293,410293,25274184[PMID],0.72,0.72
