HPO_ID,HP_Term,Frequency,GARD_IDS
HP:0000256,Macrocephaly,Very frequent (99-80%),GARD:0010756
HP:0000272,Malar flattening,Very frequent (99-80%),GARD:0010756
HP:0000316,Hypertelorism,Very frequent (99-80%),GARD:0010756
HP:0000369,Low-set ears,Very frequent (99-80%),GARD:0010756
HP:0000470,Short neck,Very frequent (99-80%),GARD:0010756
HP:0000767,Pectus excavatum,Very frequent (99-80%),GARD:0010756
HP:0001274,Agenesis of corpus callosum,Frequent (79-30%),GARD:0010756
HP:0001373,Joint dislocation,Very frequent (99-80%),GARD:0010756
HP:0001513,Obesity,Frequent (79-30%),GARD:0010756
HP:0002007,Frontal bossing,Very frequent (99-80%),GARD:0010756
HP:0002758,Osteoarthritis,Very frequent (99-80%),GARD:0010756
HP:0002857,Genu valgum,Very frequent (99-80%),GARD:0010756
HP:0005930,Abnormality of epiphysis morphology,Very frequent (99-80%),GARD:0010756
HP:0006101,Finger syndactyly,Very frequent (99-80%),GARD:0010756
HP:0012444,Brain atrophy,Frequent (79-30%),GARD:0010756
HP:0030084,Clinodactyly,Very frequent (99-80%),GARD:0010756
HP:0000256,Macrocephaly,Very frequent (99-80%),GARD:0005774
HP:0001249,Intellectual disability,Very frequent (99-80%),GARD:0005774
HP:0001250,Seizures,Very frequent (99-80%),GARD:0005774
HP:0001257,Spasticity,Very frequent (99-80%),GARD:0005774
HP:0001274,Agenesis of corpus callosum,Very frequent (99-80%),GARD:0005774
HP:0001347,Hyperreflexia,Very frequent (99-80%),GARD:0005774
HP:0001355,Megalencephaly,Very frequent (99-80%),GARD:0005774
HP:0001508,Failure to thrive,Very frequent (99-80%),GARD:0005774
HP:0002007,Frontal bossing,Very frequent (99-80%),GARD:0005774
HP:0002017,Nausea and vomiting,Very frequent (99-80%),GARD:0005774
HP:0002167,Neurological speech impairment,Very frequent (99-80%),GARD:0005774
HP:0002169,Clonus,Very frequent (99-80%),GARD:0005774
HP:0002353,EEG abnormality,Very frequent (99-80%),GARD:0005774
HP:0002360,Sleep disturbance,Very frequent (99-80%),GARD:0005774
HP:0002650,Scoliosis,Very frequent (99-80%),GARD:0005774
HP:0007256,Abnormal pyramidal sign,Very frequent (99-80%),GARD:0005774
HP:0100729,Large face,Very frequent (99-80%),GARD:0005774
